player_id,name,team_id,position,birth_date,nationality
186,Son Heung-Min,47,Attacker,1992-07-08,Korea Republic
662,T. Ndombélé,47,Midfielder,1996-12-28,France
697,M. Solomon,47,Attacker,1999-07-24,Israel
863,R. Bentancur,47,Midfielder,1997-06-25,Uruguay
1166,T. Werner,47,Attacker,1996-03-06,Germany
1578,G. Lo Celso,47,Midfielder,1996-04-09,Argentina
2061,Bryan Gil,47,Attacker,2001-02-11,Spain
2413,Richarlison,47,Attacker,1997-05-10,Brazil
18784,J. Maddison,47,Midfielder,1996-11-23,England
19032,R. Sessegnon,47,Midfielder,2000-05-18,England
129711,B. Johnson,47,Attacker,2001-05-23,Wales
149550,J. Tanganga,47,Defender,1999-03-31,England
149551,T. Parrott,47,Attacker,2002-02-04,Republic of Ireland
162493,M. Craig,47,Midfielder,2003-04-16,Scotland
162552,D. Scarlett,47,Attacker,2004-03-24,England
237129,P. Sarr,47,Midfielder,2002-09-14,Senegal
293163,J. Donley,47,Attacker,2005-01-03,England
361736,L. Black,47,Attacker,2006-02-09,England
380690,M. Moore,47,Midfielder,2007-08-11,England
665,M. Cornet,48,Attacker,1996-09-27,Côte d'Ivoire
1243,T. Souček,48,Midfielder,1995-02-27,Czechia
1646,Lucas Paquetá,48,Midfielder,1997-08-27,Brazil
2284,Emerson,48,Defender,1994-08-03,Italy
2726,K. Zouma,48,Defender,1994-10-27,France
2869,E. Álvarez,48,Midfielder,1997-10-24,Mexico
2938,J. Ward-Prowse,48,Midfielder,1994-11-01,England
15911,M. Kudus,48,Midfielder,2000-08-02,Ghana
18817,A. Ogbonna,48,Defender,1988-05-23,Italy
18819,M. Antonio,48,Attacker,1990-03-28,Jamaica
18955,D. Ings,48,Attacker,1992-07-23,England
19130,K. Phillips,48,Midfielder,1995-12-02,England
19428,J. Bowen,48,Attacker,1996-12-20,England
21694,N. Aguerd,48,Defender,1996-03-30,Morocco
144725,K. Simon-Swyer,48,Midfielder,2002-12-04,England
284409,D. Mubama,48,Attacker,2004-10-25,England
288118,L. Orford,48,Midfielder,2006-02-18,England
291363,G. Earthy,48,Midfielder,2004-09-05,England
327730,O. Scarles,48,Defender,2005-12-12,England
404574,Luis Guilherme,48,Midfielder,2006-02-09,Brazil
269,C. Nkunku,49,Attacker,1997-11-14,France
645,R. Sterling,49,Attacker,1994-12-08,England
5996,E. Fernández,49,Midfielder,2001-01-17,Argentina
63577,M. Mudryk,49,Midfielder,2001-01-05,Ukraine
67972,C. Gallagher,49,Midfielder,2000-02-06,England
136723,N. Madueke,49,Attacker,2002-03-10,England
138935,C. Chukwuemeka,49,Midfielder,2003-10-20,England
152982,C. Palmer,49,Attacker,2002-05-06,England
270508,L. Ugochukwu,49,Midfielder,2004-03-26,France
282125,R. Lavia,49,Midfielder,2004-01-06,Belgium
283058,N. Jackson,49,Attacker,2001-06-20,Senegal
284404,J. Tauriainen,49,Midfielder,2004-03-08,Finland
286774,R. Stutter,49,Attacker,2005-01-06,England
330986,M. Golding,49,Midfielder,2006-05-23,England
334037,T. George,49,Attacker,2006-02-04,England
335056,Diego Moreira,49,Attacker,2004-08-06,Portugal
365660,K. Dyer,49,Midfielder,2006-11-21,England
394167,O. Harrison,49,Midfielder,2007-08-07,England
411808,D. Richards,49,Attacker,2005-11-10,Jamaica
415001,Deivid Washington,49,Attacker,2005-06-05,Brazil
23,Sergio Gómez,50,Midfielder,2000-09-04,Spain
44,Rodri,50,Midfielder,1996-06-22,Spain
626,J. Stones,50,Defender,1994-05-28,England
627,K. Walker,50,Defender,1990-05-28,England
629,K. De Bruyne,50,Midfielder,1991-06-28,Belgium
631,P. Foden,50,Attacker,2000-05-28,England
636,Bernardo Silva,50,Midfielder,1994-08-10,Portugal
1100,E. Haaland,50,Attacker,2000-07-21,Norway
